ClusterIndex Probability          OffspringID             FatherID             MotherID
           8      1.0000     16A_B5_F4_8_2016                  #58             16A_2016
           8      1.0000     16A_B5_F5_9_2016                  #53             16A_2016
           8      1.0000    16A_B5_F5_10_2016                  #53             16A_2016
           8      1.0000    16A_B5_F6_11_2016                  #53             16A_2016
           8      1.0000    16A_B5_F6_12_2016                  #57             16A_2016
           8      1.0000    16A_B5_F7_13_2016                  #53             16A_2016
           8      1.0000    16A_B5_F8_14_2016                  #53             16A_2016
           8      1.0000    16A_B5_F9_15_2016                  #53             16A_2016
           8      1.0000     56B_B2_F1_1_2016                  #56             56B_2016
           8      1.0000     56B_B2_F1_2_2016                  #57             56B_2016
           8      1.0000     56B_B2_F1_3_2016                  #56             56B_2016
           8      1.0000     56B_B2_F2_4_2016                 #237             56B_2016
           8      1.0000     56B_B2_F2_5_2016                 #237             56B_2016
           8      1.0000     56B_B2_F3_6_2016                 #237             56B_2016
           8      1.0000     56B_B2_F3_7_2016                 #237             56B_2016
           8      1.0000     56B_B3_F4_8_2016                 #237             56B_2016
           8      1.0000     56B_B3_F4_9_2016                 #237             56B_2016
           8      1.0000    56B_B3_F4_10_2016                  #54             56B_2016
           9      0.9725     16E_B2_F1_1_2016                  #65             16E_2016
           9      0.9725     16E_B2_F1_2_2016                  #66             16E_2016
           9      0.9725     16E_B2_F1_3_2016                  #66             16E_2016
           9      0.9725     16E_B2_F2_4_2016                  #67             16E_2016
           9      0.9725     16E_B2_F2_5_2016                  #68             16E_2016
           9      0.9725     16E_B2_F2_6_2016                  #69             16E_2016
           9      0.9725     16E_B2_F3_7_2016                  #70             16E_2016
           9      0.9725     16E_B2_F3_8_2016                  #71             16E_2016
           9      0.9725     16E_B3_F4_9_2016                  #72             16E_2016
           9      0.9725    16E_B3_F4_10_2016                  #72             16E_2016
           9      0.9725    16E_B3_F4_11_2016                  #73             16E_2016
           9      0.9725    16E_B3_F5_12_2016                  #73             16E_2016
           9      0.9725    16E_B3_F5_13_2016                  #65             16E_2016
           9      0.9725     40A_B5_F1_1_2016                  #68             40A_2016
           9      0.9725     40A_B5_F1_2_2016                 #212             40A_2016
           9      0.9725     40A_B5_F1_3_2016                 #213             40A_2016
           9      0.9725     40A_B5_F2_4_2016                  #72             40A_2016
           9      0.9725     40A_B5_F2_5_2016                  #72             40A_2016
           9      0.9725     40A_B7_F3_6_2016                  #71             40A_2016
           9      0.9725     40A_B7_F4_7_2016                 #214             40A_2016
           9      0.9725     40A_B7_F4_8_2016                  #71             40A_2016
           9      0.9725     40A_B7_F4_9_2016                  #69             40A_2016
           9      0.9725    40A_B7_F5_10_2016                  #69             40A_2016
           9      0.9725    40A_B7_F5_11_2016                  #68             40A_2016
           9      0.9725    40A_B7_F6_12_2016                  #72             40A_2016
           9      0.9725    40A_B7_F7_13_2016                 #212             40A_2016
           9      0.9725    40A_B7_F8_14_2016                  #72             40A_2016
           9      0.9725    40A_B7_F9_15_2016                  #71             40A_2016
           9      0.9725   40A_B7_F10_16_2016                  #71             40A_2016
           9      0.9725     40B_B1_F1_1_2016                  #69             40B_2016
           9      0.9725     40B_B1_F2_2_2016                  #71             40B_2016
           9      0.9725     40B_B1_F3_3_2016                  #66             40B_2016
           9      0.9725     40B_B4_F4_4_2016                 #212             40B_2016
           9      0.9725     40B_B4_F5_5_2016                  #69             40B_2016
           9      0.9725     40B_B4_F5_6_2016                 #213             40B_2016
           9      0.9725     58B_B2_F1_1_2016                  #67             58B_2016
           9      0.9725     58B_B2_F1_2_2016                 #212             58B_2016
           9      0.9725     58B_B4_F2_3_2016                  #69             58B_2016
           9      0.9725     58B_B4_F2_4_2016                  #73             58B_2016
           9      0.9725     58B_B4_F3_5_2016                 #214             58B_2016
           9      0.9725     58B_B4_F4_6_2016                 #212             58B_2016
           9      0.9725     58B_B4_F4_7_2016                 #214             58B_2016
           9      0.9725     58B_B4_F4_8_2016                 #214             58B_2016
           9      0.9725     58B_B4_F5_9_2016                  #67             58B_2016
           9      0.9725    58B_B4_F5_10_2016                  #66             58B_2016
          10      0.1103     24A_B1_F1_1_2016                  #74             24A_2016
          10      0.1103     24A_B1_F1_2_2016                  #75             24A_2016
          10      0.1103     24A_B1_F1_3_2016                  #76             24A_2016
          10      0.1103     24A_B1_F2_4_2016                  #76             24A_2016
          10      0.1103     24A_B1_F2_5_2016                  #77             24A_2016
          10      0.1103     24A_B1_F2_6_2016                  #78             24A_2016
